Date,Demand,Net_generation
2016-06-06,376159.0,450515.0
2016-06-07,369562.0,443872.0
2016-06-08,371028.0,449936.0
2016-06-09,379696.0,449617.0
2016-06-10,370249.0,431114.0
2016-06-11,341733.0,400492.0
2016-06-12,327132.0,388165.0
2016-06-13,335432.0,398904.0
2016-06-14,327609.0,386667.0
2016-06-15,328235.0,393854.0
2016-06-16,337585.0,408386.0
2016-06-17,344919.0,432804.0
2016-06-18,351059.0,436246.0
2016-06-19,383681.0,455313.0
2016-06-20,430249.0,499313.0
2016-06-21,429946.0,495616.0
2016-06-22,417505.0,484781.0
2016-06-23,418107.0,487533.0
2016-06-24,399425.0,473812.0
2016-06-25,355216.0,444660.0
2016-06-26,326886.0,430476.0
2016-06-27,338736.0,444083.0
2016-06-28,395115.0,495412.0
2016-06-29,415601.0,505085.0
2016-06-30,373101.0,462077.0
2016-07-01,344457.0,443322.0
2016-07-02,337220.0,437326.0
2016-07-03,356655.0,439522.0
2016-07-04,374066.0,452263.0
2016-07-05,381642.0,460928.0
2016-07-06,393422.0,465579.0
2016-07-07,394847.0,469299.0
2016-07-08,393595.0,476934.0
2016-07-09,392281.0,478574.0
2016-07-10,390074.0,463496.0
2016-07-11,392470.0,460243.0
2016-07-12,384728.0,450626.0
2016-07-13,394466.0,459619.0
2016-07-14,410892.0,480643.0
2016-07-15,415158.0,472263.0
2016-07-16,409258.0,469814.0
2016-07-17,394709.0,456857.0
2016-07-18,392560.0,468135.0
2016-07-19,399038.0,473876.0
2016-07-20,403645.0,474588.0
2016-07-21,414875.0,491823.0
2016-07-22,435954.0,502544.0
2016-07-23,422984.0,489545.0
2016-07-24,415717.0,482738.0
2016-07-25,416455.0,497797.0
2016-07-26,419279.0,493233.0
2016-07-27,434453.0,497787.0
2016-07-28,430862.0,494852.0
2016-07-29,437537.0,508963.0
2016-07-30,380967.0,457953.0
2016-07-31,371751.0,446532.0
2016-08-01,370345.0,455342.0
2016-08-02,379019.0,471563.0
2016-08-03,357835.0,454364.0
2016-08-04,365408.0,459976.0
2016-08-05,366756.0,458458.0
2016-08-06,361871.0,430770.0
2016-08-07,379918.0,442778.0
2016-08-08,395668.0,465536.0
2016-08-09,387992.0,463949.0
2016-08-10,368156.0,461299.0
2016-08-11,368180.0,452282.0
2016-08-12,380648.0,465245.0
2016-08-13,375170.0,452833.0
2016-08-14,363596.0,441210.0
2016-08-15,385332.0,465025.0
2016-08-16,399289.0,468500.0
2016-08-17,396714.0,465986.0
2016-08-18,384889.0,461886.0
2016-08-19,371296.0,450719.0
2016-08-20,353182.0,436139.0
2016-08-21,327876.0,408792.0
2016-08-22,338544.0,419113.0
2016-08-23,334655.0,422306.0
2016-08-24,341173.0,434451.0
2016-08-25,344342.0,441112.0
2016-08-26,352156.0,444128.0
2016-08-27,332295.0,419089.0
2016-08-28,312426.0,392690.0
2016-08-29,340386.0,429769.0
2016-08-30,362869.0,466919.0
